mAb,Reference,CL,VC,VP,Q,ka,F,Km,Vm,Route,NonLin,TMDD,Time dependency,Fixed Parameters,Detection,N,Smpls,CL_WT,VC_WT,VP_WT,Q_WT,Size descriptor,Ref size,CL_SEX,VC_SEX,VP_SEX,SEX,CL_ALB,VC_ALB,VP_ALB,ALB,CL_ADA,cov_remark,Basemodel included,Modelcode included
rituximab,https://doi.org/10.1007/s00280-018-3524-9,0.3,3.191,4.154,0.446,NA,NA,NA,NA,i.v.,0,NA,0,NA,ECL,251,5341,NA,1.11,NA,NA,BSA,1.72,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
rituximab,https://doi.org/10.1111/bcp.13991,0.23,2.9,5,1.8,NA,NA,NA,NA,i.v.,1,TMDD,0,NA,ELISA,25,134,NA,0.49,NA,NA,BW,67,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
rituximab,https://doi.org/10.1002/psp4.12665,0.207,4.99,3.7,0.42,0.372,0.633,NA,NA,s.c./i.v.,1,NA,1,NA,ELISA,255,4739,1.37,0.8,0.8,1.37,BSA,1.9,NA,-0.091,NA,M,NA,NA,NA,NA,0,NA,No,1
rituximab,https://doi.org/10.1007/s40262-016-0470-8,0.137,3.08,2.54,0.31,NA,NA,NA,NA,i.v.,1,TMDD,1,NA,ELISA,118,1943,NA,0.904,1.31,NA,BSA,1.9,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
rituximab,https://doi.org/10.1111/j.1472-8206.2009.00714.x,0.117,3.522,12,0.595,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,10,157,NA,1,NA,NA,BSA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
rituximab,https://doi.org/10.1007/s00280-016-3083-x,0.141,0.95,1.2,0.704,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
rituximab,https://doi.org/10.3389/fphar.2024.1197651,1.157,2.48,4.68,0.175,NA,NA,NA,NA,i.v.,1,TMDD,0,NA,ELISA,41,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
secukinumab,https://doi.org/10.1002/jcph.876,0.19,3.61,2.87,0.39,0.18,0.729,NA,NA,s.c./i.v.,0,NA,0,NA,ELISA,1233,10193,NA,NA,NA,NA,NA,90,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
siltuximab,https://doi.org/10.1007/s00280-019-03939-7,0.165,3.038,2.598,0.624,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,460,7761,NA,0.65,0.65,NA,BW,73,NA,NA,NA,0,-0.84,-0.35,-0.35,41,NA,NA,No,0
siltuximab,https://doi.org/10.1158/1078-0432.CCR-09-2581,0.316,4.518,1.912,3.479,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,36,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
sutimlimab,https://doi.org/10.1124/jpet.122.001511,0.137,3.83,1.98,0.475,NA,NA,8.61,236.4,i.v.,1,MM,0,NA,NA,154,2470,1.71,0.536,NA,NA,BW,71.85,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
teclistamab,https://doi.org/10.1007/s11523-023-00989-z,0.449,4.13,1.34,0.039,0.133,0.718,NA,NA,s.c./i.v.,1,NA,1,NA,NA,338,4840,0.704,0.358,1.4,NA,BW,74,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
teprotumumab,https://doi.org/10.1007/s40262-021-01003-3,0.334,3.94,4.21,0.859,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA & ECL,119,1060,NA,NA,NA,NA,NA,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
tezepelumab,https://doi.org/10.1002/jcph.1803,0.158,2.581,2.29,0.726,0.247,0.645,NA,NA,s.c./i.v.,0,NA,0,NA,NA,NA,NA,0.957,0.917,0.695,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,Yes,0
tezepelumab,https://doi.org/10.1002/jcph.2433,0.172,3.91,2.17,0.568,0.316,0.768,NA,NA,s.c./i.v.,0,NA,0,NA,ELISA,1368,12541,1.01,0.963,0.609,0.588,BW,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
tocilizumab,https://doi.org/10.1002/jcph.826,0.216,4.5,2.8,0.274,0.23,0.8,0.34,8.55,s.c./i.v.,1,MM,0,NA,ELISA,1699,NA,0.51,0.68,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
tocilizumab,https://doi.org/10.1177/0091270009350623,0.3,3.5,2.9,0.2,NA,NA,2.7,7.5,i.v.,1,MM,0,NA,ELISA,1793,7415,0.7,NA,NA,NA,BSA,1.8,-0.16,NA,NA,M,-0.4,0.7,NA,38,NA,NA,No,0
toripalimab,https://doi.org/10.3389/fphar.2022.1069818,0.358,3.71,0.796,0.876,NA,NA,NA,NA,i.v.,1,NA,1,NA,NA,1014,10430,0.097,0.488,NA,NA,BW,64,-0.19,-0.19,NA,M,-0.676,NA,NA,43.7,x 1.191,NA,No,0
tralokinumab,https://doi.org/10.1111/bcp.12725,0.204,1.867,3.357,1.582,0.34,0.8,NA,NA,s.c./i.v.,0,NA,0,NA,ELISA,578,5504,0.75,1,1,0.75,BW,73,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
tralokinumab,https://doi.org/10.1002/cpdd.1113,0.149,2.71,1.44,0.159,0.184,0.761,NA,NA,s.c./i.v.,0,NA,0,NA,ELISA,2561,13361,0.873,0.783,0.783,0.873,BW,75,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
trastuzumab,https://doi.org/10.1007/s00280-019-03850-1,0.25,3.15,5.55,0.47,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,702,7098,0.637,0.507,NA,NA,BW,67,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
trastuzumab,https://doi.org/10.1007/s00280-018-3728-z,0.127,2.62,2.97,0.544,NA,NA,8.92,8.81,i.v.,1,MM,0,NA,ELISA,1582,26040,0.967,NA,NA,NA,BW,60,NA,NA,NA,0,-0.998,NA,NA,40,NA,NA,No,0
trastuzumab,https://doi.org/10.1007/s00280-015-2922-5,0.111,2.91,3.06,0.445,0.404,0.771,33.9,11.9,s.c./i.v.,1,MM,0,NA,ELISA,595,15761,1.04,0.443,0.5,NA,BW,68,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
trastuzumab,https://doi.org/10.1007/s00280-014-2400-5,0.23,3.63,3.74,0.366,NA,NA,3.7,5.76,i.v.,1,MM,0,NA,ELISA,266,1419,1.07,0.648,NA,NA,BW,62,NA,NA,NA,0,-0.721,NA,NA,38.2,NA,NA,No,0
trastuzumab,https://doi.org/10.1007/s00280-005-1026-z,0.225,2.95,4.79,0.484,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,476,3849,0.556,NA,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
trastuzumab,https://doi.org/10.1111/bcp.12875,0.22,2.1,1.3,0.36,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,79,784,0.56,0.7,NA,NA,BW,61,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
tremelimumab,https://doi.org/10.1002/jcph.309,0.26,3.97,3.71,0.461,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,654,3452,NA,0.51,NA,NA,BW,80,-0.174,-0.154,NA,M,NA,NA,NA,NA,0,NA,No,0
tremelimumab,https://doi.org/10.1111/cts.12633,0.31,3.85,1.72,0.273,NA,NA,NA,NA,i.v.,0,NA,0,NA,NA,376,1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
tremelimumab,https://doi.org/10.1111/bcp.15622,0.237,3.64,2.4,0.357,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA,956,4043,0.638,0.606,NA,NA,BW,71,NA,NA,NA,0,-0.996,NA,NA,39,0,NA,Yes,1
tremelimumab,https://doi.org/10.1002/cpt.3063,0.248,3.72,2.61,0.454,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA,1605,5455,0.37,0.453,NA,NA,BW,70.2,-0.134,-0.149,NA,M,-0.809,NA,NA,38.3,0,NA,No,0
tremelimumab,https://doi.org/10.1002/jcph.2288,0.258,3.59,2.69,0.48,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA,2406,NA,0.384,0.467,NA,NA,BW,70.2,-0.098,-0.116,NA,M,-0.78,NA,NA,38.3,0,NA,No,0
ustekinumab,https://doi.org/10.1002/jcph.1582,0.186,3.01,1.43,0.157,0.142,0.872,NA,NA,s.c./i.v.,0,NA,0,NA,ECL,823,9014,0.641,0.592,0.667,0.631,BW,71.2,0.08,NA,NA,F,-1.64,NA,NA,41,x 1.14,NA,No,0
ustekinumab,https://doi.org/10.3390/pharmaceutics13101587,0.277,3.57,3.3,1.89,0.381,0.71,NA,NA,s.c./i.v.,1,TMDD,0,NA,ELISA,57,574,0.598,0.59,0.586,NA,FFM,45,NA,NA,NA,0,-0.016,NA,NA,43,0,CL_Alb linear,Yes,1
ustekinumab,https://doi.org/10.1111/bcp.14971,0.235,5.05,0.748,0.043,0.142,0.624,NA,NA,s.c./i.v.,0,NA,0,"ka, CL_WT, VC_WT, VP_WT, Q_WT",ELISA,86,311,0.75,1,1,0.75,BW,65.27,NA,NA,NA,0,-1.21,NA,NA,42.65,0,NA,Yes,1
ustekinumab,https://doi.org/10.1016/j.clinthera.2022.08.010,0.192,2.75,1.88,0.287,0.181,0.782,NA,NA,s.c./i.v.,0,NA,0,NA,ECL,1673,14125,0.481,0.402,0.705,0.793,BW,70,0.161,0.155,NA,F,-0.972,-0.208,NA,NA,x 1.125,NA,No,0
vedolizumab,https://doi.org/10.1111/apt.13243,0.159,3.19,1.65,0.12,NA,NA,0.964,0.265,i.v.,1,MM,0,"VP_WT, Q_WT",ELISA,2554,18427,0.362,0.467,1,0.75,BW,70,NA,NA,NA,0,-1.18,NA,NA,40,x 1.12,NA,No,0
vedolizumab,https://doi.org/10.5217/ir.2019.09167,0.165,3.16,1.84,0.161,NA,NA,0.851,0.238,i.v.,1,MM,0,"VP_WT, Q_WT",ECL,1933,16598,0.472,0.466,1,0.75,BW,70,NA,NA,NA,0,-1.19,NA,NA,38,x 1.49,NA,No,0
vedolizumab,https://doi.org/10.1093/ibd/izab143,0.215,4.92,1.65,0.12,NA,NA,0.964,0.265,i.v.,1,MM,0,"Q, VP, Km, Vm",ELISA,108,737,NA,NA,NA,NA,NA,0,NA,NA,NA,0,-0.02,NA,NA,41,x 1.9,CL_Alb linear,Yes,1
vedolizumab,https://doi.org/10.1002/prp2.1257,0.148,3.12,3.95,0.5,NA,NA,NA,NA,i.v.,0,NA,0,"VP_WT, Q_WT",ELISA,193,2365,0.713,0.659,1,0.5,BW,75,NA,NA,NA,0,-1.35,NA,NA,40,0,NA,No,0
