mAb,Reference,CL,VC,VP,Q,ka,F,Km,Vm,Route,NonLin,TMDD,Time dependency,Fixed Parameters,Detection,N,Smpls,CL_WT,VC_WT,VP_WT,Q_WT,Size descriptor,Ref size,CL_SEX,VC_SEX,VP_SEX,SEX,CL_ALB,VC_ALB,VP_ALB,ALB,CL_ADA,cov_remark,Basemodel included,Modelcode included
casirivimab,https://doi.org/10.1007/s11095-024-03764-5,0.193,3.917,3.065,0.413,0.218,0.72,NA,NA,s.c./i.v.,0,NA,0,NA,ECL,7598,23210,0.796,0.539,NA,NA,BW,81.6,-0.081,-0.109,NA,M,-1.078,-0.417,NA,43,0,NA,No,1
cemiplimab,https://doi.org/10.1007/s10928-021-09739-y,0.29,3.32,1.65,0.638,NA,NA,NA,NA,i.v.,0,NA,0,NA,NA,549,11178,0.477,0.97,0.97,0.477,BW,76.2,NA,NA,NA,0,-0.926,NA,NA,38,NA,NA,No,0
cemiplimab,https://doi.org/10.1002/psp4.12855,0.254,3.35,2.52,0.652,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,1063,17312,0.539,0.499,0.499,0.539,BW,73.2,-0.137,-0.08,NA,M,-1.11,-0.217,NA,38.6,0,NA,No,1
cetuximab,https://doi.org/10.1111/bcp.13907,0.456,4.4,8.1,0.665,NA,NA,NA,NA,i.v.,0,NA,0,NA,LCMS,28,203,NA,NA,NA,NA,NA,62,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
cetuximab,https://doi.org/10.1158/1078-0432.CCR-11-1081,0.497,2.96,4.65,0.836,NA,NA,NA,NA,i.v.,1,Zero-order,0,NA,ELISA,96,1253,0.56,0.42,NA,NA,BSA,1.79,NA,NA,NA,0,-0.024,NA,NA,38,NA,NA,No,0
cetuximab,https://doi.org/10.1097/FTD.0000000000000321,0.57,3.18,5.4,0.64,NA,NA,NA,NA,i.v.,1,Zero-order,0,NA,ELISA,34,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
daratumumab,https://doi.org/10.1002/jcph.1771,0.119,5.25,3.78,0.229,0.28,0.689,2.56,27.6,s.c./i.v.,1,MM,1,NA,ELISA,742,5159,1.24,0.91,NA,NA,BW,78.6,NA,0.105,NA,F,-1.85,NA,NA,37,NA,NA,No,0
daratumumab,https://doi.org/10.1007/s12325-018-0815-9,0.117,4.4,3.3,0.207,NA,NA,0.305,20.232,i.v.,1,MM,1,NA,ELISA,694,4426,0.934,0.525,NA,NA,BW,78.6,NA,-0.146,NA,M,-0.421,NA,NA,37,NA,NA,No,0
daratumumab,https://doi.org/10.1007/s12325-020-01247-8,0.116,4.09,3.06,1.541,NA,NA,0.93,49.92,i.v.,1,MM,1,Km,ELISA,107,NA,0.451,0.375,NA,NA,BW,78.6,NA,-0.205,NA,M,-1.149,NA,NA,37,0,NA,No,0
daratumumab,https://doi.org/10.1111/bcp.15628,0.104,4.36,2.8,0.195,0.288,0.689,3.81,35.28,s.c./i.v.,1,MM,1,F,ELISA,239,1146,0.832,0.562,NA,NA,BW,76,NA,-0.168,NA,M,-0.665,NA,NA,38,0,NA,No,1
denosumab,https://doi.org/10.2165/11598090-000000000-00000,0.078,2.62,1.37,1.09,0.257,0.612,NA,NA,s.c./i.v.,1,TMDD,0,"CL_WT, VC_WT, VP_WT, Q_WT",ELISA,1076,14228,0.75,0.75,0.75,0.75,BW,66,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
denosumab,https://doi.org/10.2165/11594240-000000000-00000,0.072,2.59,1.29,0.96,0.25,0.637,NA,NA,s.c./i.v.,1,TMDD,0,"CL_WT, VC_WT, VP_WT, Q_WT",ELISA,1564,22944,0.75,0.75,0.75,0.75,BW,66,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
dostarlimab,https://doi.org/10.1111/bcp.15339,0.152,2.98,2.1,0.547,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA,546,4804,0.419,0.47,0.47,NA,BW,70,0.165,0.162,NA,F,-1.01,-0.153,NA,39,0,NA,No,0
dostarlimab,https://doi.org/10.1111/bcp.16325,0.157,3.09,2.48,0.458,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA,868,7957,0.523,0.48,0.48,NA,BW,70,0.15,0.137,NA,F,-0.922,-0.132,NA,39,0,NA,No,0
dupilumab,https://doi.org/10.1002/psp4.12136,0.127,2.6,1.56,0.27,0.261,0.623,0.01,2.756,s.c./i.v.,1,MM,0,Km,ELISA,197,2518,NA,0.737,NA,NA,BW,75,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,1
dupilumab,https://doi.org/10.1002/psp4.12667,0.115,2.76,1.61,0.263,0.263,0.609,2.08,4.3884,s.c./i.v.,1,MM,0,NA,ELISA,2114,14584,0.889,0.667,NA,NA,BW,78,NA,NA,NA,0,-0.484,-0.484,NA,44,x 1.191,NA,No,0
durvalumab,https://doi.org/10.1007/s40262-019-00804-x,0.257,4.63,2.68,0.902,NA,NA,NA,NA,i.v.,0,NA,0,NA,ECL,267,1812,0.581,0.451,NA,NA,BW,74.7,-0.21,-0.21,NA,M,-1.58,-0.566,NA,40,NA,NA,No,0
durvalumab,https://doi.org/10.1002/cpt.982,0.232,3.51,3.56,0.477,NA,NA,0.608,0.961,i.v.,1,MM,0,NA,ECL,1409,7406,0.4,0.406,NA,NA,BW,69.8,-0.129,-0.166,-0.236,M,-0.027,NA,NA,38,x 1.256,CL_Alb linear,No,0
durvalumab,https://doi.org/10.1002/jcph.2288,0.191,3.45,2.13,0.469,NA,NA,NA,NA,i.v.,1,NA,1,NA,ECL,3737,NA,0.376,0.499,NA,NA,BW,69.4,-0.149,-0.14,NA,M,-0.659,NA,NA,39,0,NA,No,0
eculizumab,https://doi.org/10.3389/fneur.2021.696385,0.17,2.15,2.55,4.56,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,62,NA,0.63,1.28,1.28,0.63,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
eculizumab,https://doi.org/10.1007/s00228-024-03703-8,0.418,3.47,0.79,0.322,NA,NA,NA,NA,i.v.,0,NA,0,NA,ECL,289,4136,1.14,0.863,NA,NA,BW,80.9,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
elotuzumab,https://doi.org/10.1002/jcph.1698,0.081,3.94,2.01,0.515,NA,NA,298,48.068,i.v.,1,MM,0,Q_WT,ELISA,420,NA,1.33,0.348,0.623,0.75,BW,75,NA,-0.19,NA,M,NA,NA,NA,NA,NA,NA,No,1
elotuzumab,https://doi.org/10.1007/s10928-016-9469-x,0.09,4.04,2.22,0.676,NA,NA,253,37.2084,i.v.,1,MM,0,Q_WT,ELISA,375,6958,1.16,0.332,0.617,0.75,BW,75,NA,-0.2,NA,M,NA,NA,NA,NA,NA,NA,No,1
erenumab,https://doi.org/10.1007/s11095-017-2183-6,0.214,4.27,2.73,3.34,0.432,0.74,NA,NA,s.c./i.v.,1,TMDD,0,"CL_WT, VC_WT",ELISA,78,1297,0.75,1,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
evinacumab,https://doi.org/10.1002/psp4.12711,0.096,2.56,2.25,0.279,0.181,0.714,1.02,3.16,s.c./i.v.,1,MM,0,CL_WT ,ELISA,278,NA,0.75,0.875,NA,NA,BW,74.1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,1
golimumab,https://doi.org/10.1016/j.clinthera.2019.11.010,0.544,3.43,2.27,0.291,0.213,0.522,NA,NA,s.c./i.v.,0,NA,0,NA,ELISA,1227,10690,0.812,0.873,0.9,1.22,BW,70,NA,NA,NA,0,-1.15,NA,NA,42,x 1.243,NA,No,0
guselkumab,https://doi.org/10.1111/bcp.15364,0.255,3.6,1.78,0.369,0.313,0.492,NA,NA,s.c./i.v.,0,NA,0,NA,DELFIA & ECL,2623,23097,0.971,1.18,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,Yes,1
guselkumab,https://doi.org/10.1002/cpt.3235,0.314,3.66,2.9,0.286,0.106,0.626,NA,NA,s.c./i.v.,0,NA,0,NA,ECL,214,2087,0.554,0.458,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
imdevimab,https://doi.org/10.1007/s11095-024-03764-5,0.236,3.823,3.199,0.403,0.235,0.662,NA,NA,s.c./i.v.,0,NA,0,NA,ECL,7598,22983,0.796,0.539,NA,NA,BW,81.6,-0.069,-0.088,NA,M,-0.964,-0.417,NA,43,0,NA,No,1
inebilizumab,https://doi.org/10.1007/s40262-021-01071-5,0.188,2.95,2.57,0.363,NA,NA,5.89,0.832,i.v.,1,MM,1,NA,ELISA,213,1626,0.57,0.39,0.4,0.84,BW,66.2,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
infliximab,https://doi.org/10.1097/MIB.0000000000000212,0.381,2.37,1.37,0.122,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,54,169,0.612,0.696,0.604,1.15,BW,70,NA,NA,NA,0,-1.39,NA,NA,40,x 2.59,NA,No,0
infliximab,https://doi.org/10.1007/s00228-009-0718-4,0.407,3.29,7.14,4.13,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,482,4145,NA,0.538,NA,NA,BW,79,-0.236,-0.137,NA,M,-1.54,NA,NA,41,x 1.471,NA,No,0
infliximab,https://doi.org/10.1177/0091270008316886,0.273,3.06,2.94,1.72,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,274,8137,NA,0.744,NA,NA,BSA,1.94,NA,-0.1,NA,M,NA,NA,NA,NA,x 1.419,NA,No,0
infliximab,https://doi.org/10.1016/j.clinthera.2011.06.002,0.35,3.426,1.235,0.14,NA,NA,NA,NA,i.v.,0,NA,0,Q_WT,ELISA,580,NA,0.52,0.606,0.256,1,BW,65,NA,NA,NA,0,-0.82,NA,NA,41,x 1.294,NA,No,0
infliximab,https://doi.org/10.1111/bcp.12313,0.456,2.3,3.6,4.32,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,48,412,NA,1.2,NA,NA,BW,65,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
infliximab,https://doi.org/10.1111/apt.13299,0.199,4.94,3.13,0.062,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,42,188,NA,NA,NA,NA,NA,NA,0.345,NA,NA,F,NA,NA,NA,NA,x 1.722,NA,No,0
infliximab,https://doi.org/10.1080/14712598.2019.1635583,0.36,3.57,1.65,4.8,NA,NA,NA,NA,i.v.,0,NA,0,Q,ELISA,326,2415,NA,0.669,NA,NA,BW,70.8,0.255,NA,NA,F,NA,NA,NA,NA,x 1.478,NA,Yes,0
infliximab,https://doi.org/10.1080/14712598.2019.1635583,0.336,3.38,1.7,4.8,NA,NA,NA,NA,i.v.,0,NA,0,Q,ELISA,323,2466,NA,0.425,NA,NA,BW,70.3,0.283,NA,NA,F,NA,NA,NA,NA,x 1.394,NA,Yes,0
infliximab,https://doi.org/10.1111/apt.16609,0.355,3.1,1.93,0.598,0.273,0.791,NA,NA,s.c./i.v.,0,NA,0,NA,ECL,175,2772,0.666,0.385,1.08,1.26,BW,70,NA,NA,NA,0,-0.826,NA,NA,44,x 1.39,NA,Yes,0
ipilimumab,https://doi.org/10.1111/bcp.12323,0.36,4.15,3.11,0.986,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,499,2095,0.642,0.708,NA,NA,BW,80,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
ipilimumab,https://doi.org/10.1002/psp4.12477,0.317,3.95,3.18,0.67,NA,NA,NA,NA,i.v.,1,NA,1,NA,NA,3411,12545,0.694,0.6,NA,NA,BW,76.8,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,1
isatuximab,https://doi.org/10.1002/psp4.12561,0.229,5.13,3.62,1.03,NA,NA,0.3,16.74432,i.v.,1,MM,1,NA,ELISA,476,7697,0.621,0.472,0.719,0.477,BW,75.6,NA,-0.126,NA,M,NA,NA,NA,NA,NA,NA,No,0
isatuximab,https://doi.org/10.1002/psp4.12666,0.181,4.85,5.68,1.003,NA,NA,0.046,16.9944,i.v.,1,MM,0,NA,ELISA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,1
lecanemab,https://doi.org/10.1002/psp4.12862,0.434,3.22,2.19,0.838,NA,NA,NA,NA,i.v.,0,NA,0,NA,LCMS,725,9027,0.403,0.606,NA,NA,BW,73.7,-0.208,-0.107,NA,M,-0.243,NA,NA,42.9,x 1.09,NA,No,1
lecanemab,https://doi.org/10.1002/psp4.13224,0.37,3.24,2,0.172,NA,NA,NA,NA,i.v.,0,NA,0,NA,LCMS,1619,21929,0.353,0.513,NA,NA,BW,72,-0.209,-0.132,NA,M,-0.374,NA,NA,43,x 1.13,NA,No,1
margetuximab,https://doi.org/10.1093/annonc/mdx002,0.299,3.73,3.73,0.885,NA,NA,NA,NA,i.v.,1,MM,0,NA,ELISA,66,NA,0.75,1,1,0.75,BW,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
mepolizumab,https://doi.org/10.5414/CP202446,0.21,3.6,3.56,1.008,NA,NA,NA,NA,i.v.,0,NA,0,NA,NA,11,NA,0.75,0.75,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
mirikizumab,https://doi.org/10.1007/s40262-023-01281-z,0.552,3.4,1.58,0.181,0.182,0.422,NA,NA,s.c./i.v.,0,NA,0,NA,ELISA,233,4103,NA,0.247,NA,NA,BW,75.4,NA,NA,NA,0,-0.951,NA,NA,43.2,0,NA,No,0
mirikizumab,https://doi.org/10.1007/s40262-023-01281-z,0.528,3.11,1.69,0.209,0.169,0.476,NA,NA,s.c./i.v.,0,NA,0,NA,ELISA,1129,7578,0.534,0.525,0.525,0.534,BW,70.7,NA,NA,NA,0,-0.981,NA,NA,45,0,NA,No,0
mogamulizumab,https://doi.org/10.1002/jcph.1564,0.331,3.65,2.48,1.277,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,444,4775,NA,0.884,NA,NA,BSA,1.82,-0.23,NA,NA,M,-1.81,NA,-1.47,39,NA,NA,Yes,0
mosunetuzumab,https://doi.org/10.1111/cts.13825,0.584,5.49,6.17,1.46,NA,NA,NA,NA,i.v.,0,NA,0,NA,NA,439,7250,0.549,0.433,0.737,NA,BW,78,-0.128,-0.126,NA,M,NA,-0.481,NA,39,0,NA,No,1
natalizumab,https://doi.org/10.1002/jcph.894,0.15,3.76,1.82,0.403,0.266,0.822,7.55,3.72,s.c./i.v.,1,MM,0,NA,ELISA,1286,12788,0.863,0.292,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,x 2.54,NA,Yes,0
necitumumab,https://doi.org/10.1007/s40262-016-0452-x,0.27,3.41,3.29,0.439,NA,NA,7.97,13.56,i.v.,1,MM,0,NA,NA,807,4920,0.768,0.498,0.498,0.768,BW,70,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
nimotuzumab,https://doi.org/10.1002/jcph.496,0.017,1.43,18.5,0.077,NA,NA,NA,NA,i.v.,1,TMDD,0,NA,ELISA,12,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
nimotuzumab,https://doi.org/10.3390/pharmaceutics12121147,0.231,2.63,0.01,0.691,NA,NA,NA,NA,i.v.,1,TMDD,0,NA,ELISA,20,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
nivolumab,https://doi.org/10.1186/s40425-019-0669-y,0.211,3.46,3.46,0.48,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,221,1715,0.97,NA,NA,NA,BSA,1.95,-0.17,NA,NA,M,-1.34,NA,NA,42,NA,NA,No,1
nivolumab,https://doi.org/10.1007/s00280-019-03771-z,0.199,4.46,2.52,0.624,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA & ECL,1302,8585,0.498,0.428,NA,NA,BW,80,-0.134,-0.189,NA,M,-0.869,NA,NA,40,NA,NA,No,0
nivolumab,https://doi.org/10.1002/jcph.1324,0.187,4.13,2.5,0.746,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA & ECL,1074,7514,0.754,0.615,NA,NA,BW,80,NA,0.102,NA,F,-0.711,NA,NA,40,NA,NA,No,0
nivolumab,https://doi.org/10.1002/psp4.12143,0.168,3.63,2.78,0.77,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA & ECL,1895,12292,0.566,0.597,NA,NA,BW,80,0.165,0.15,NA,F,NA,NA,NA,NA,NA,NA,No,0
nivolumab,https://doi.org/10.1002/psp4.12476,0.204,4.27,2.7,0.838,NA,NA,NA,NA,i.v.,1,NA,1,NA,NA,6468,32835,0.53,0.534,NA,NA,BW,80,-0.181,-0.161,NA,M,NA,NA,NA,NA,0,NA,No,1
nivolumab,https://doi.org/10.1002/jcph.1432,0.191,4.19,2.64,0.703,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA & ECL,1200,6945,0.529,0.74,NA,NA,BW,71,-0.182,-0.132,NA,M,NA,NA,NA,NA,0,NA,No,0
nivolumab,https://doi.org/10.1038/s41416-024-02659-x,0.219,4.17,3.38,1.207,NA,NA,NA,NA,i.v.,0,NA,0,NA,LCMS,364,992,0.348,0.81,NA,NA,BW,73,NA,NA,-0.558,M,-0.738,NA,NA,38,0,NA,Yes,0
nivolumab,https://doi.org/10.1002/cpt.3148,0.191,4.27,2.63,0.782,0.396,0.767,NA,NA,s.c./i.v.,1,NA,1,NA,NA,3540,19350,0.588,0.626,NA,NA,BW,80,-0.162,-0.139,NA,M,NA,NA,NA,NA,0,NA,No,1
obinutuzumab,https://doi.org/10.1038/psp.2014.42,0.083,2.76,1.01,1.29,NA,NA,NA,NA,i.v.,1,NA,1,"VP_WT, Q_WT",ELISA,678,12634,0.615,0.383,1,0.75,BW,75,0.22,0.18,NA,F,NA,NA,NA,NA,NA,NA,No,1
obinutuzumab,https://doi.org/10.1111/bcp.13974,0.074,2.72,1.23,1.32,NA,NA,NA,NA,i.v.,1,NA,1,NA,ELISA,961,16301,0.639,0.378,1.08,NA,BW,75,0.18,0.19,NA,F,-0.682,NA,NA,40,0,NA,No,0
ocrelizumab,https://doi.org/10.1111/bcp.14658,0.17,2.78,2.68,0.294,NA,NA,NA,NA,i.v.,1,NA,1,Q_WT,ELISA,941,4901,0.684,0.397,0.853,0.75,BW,75,NA,0.12,NA,F,NA,NA,NA,NA,NA,NA,No,0
ofatumumab,https://doi.org/10.1002/jcph.268,0.18,3.26,2.07,0.532,NA,NA,NA,NA,i.v.,1,TMDD,0,CL_WT,ELISA,477,6908,1,0.814,0.813,NA,BSA,1.87,NA,-0.115,NA,M,NA,NA,NA,NA,NA,NA,No,0
ofatumumab,https://doi.org/10.1007/s40263-021-00895-w,0.34,2.62,2.8,0.358,0.157,0.685,NA,NA,s.c./i.v.,1,TMDD,0,NA,ELISA,1440,9168,1.52,1.2,NA,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
olaratumab,https://doi.org/10.1007/s40262-017-0562-0,0.559,4.16,3.58,0.756,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,171,1501,0.431,0.61,NA,NA,BW,80,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
panitumumab,https://doi.org/10.1177/0091270009344989,0.273,3.95,2.59,0.39,NA,NA,0.426,12.1,i.v.,1,MM,0,NA,ELISA,1200,8482,0.411,0.526,NA,NA,BW,80,-0.23,-0.17,NA,M,NA,NA,NA,NA,NA,NA,No,0
